id,team,x,y,segment,name,location
119,HOU,119.4065331,193.697011,infield_inner,Minute Maid Park,"Houston, TX"
120,HOU,116.8360207,191.1896045,infield_inner,Minute Maid Park,"Houston, TX"
121,HOU,114.2655082,188.6821979,infield_inner,Minute Maid Park,"Houston, TX"
122,HOU,111.6949958,186.1747913,infield_inner,Minute Maid Park,"Houston, TX"
123,HOU,109.1244834,183.6673847,infield_inner,Minute Maid Park,"Houston, TX"
124,HOU,106.5539709,181.1599782,infield_inner,Minute Maid Park,"Houston, TX"
125,HOU,103.9834585,178.6525716,infield_inner,Minute Maid Park,"Houston, TX"
126,HOU,104.9916969,175.6483995,infield_inner,Minute Maid Park,"Houston, TX"
127,HOU,105.3056628,172.1037367,infield_inner,Minute Maid Park,"Houston, TX"
128,HOU,106.2983453,169.1566582,infield_inner,Minute Maid Park,"Houston, TX"
129,HOU,108.8694774,166.649887,infield_inner,Minute Maid Park,"Houston, TX"
130,HOU,111.4406094,164.1431157,infield_inner,Minute Maid Park,"Houston, TX"
131,HOU,114.0117414,161.6363445,infield_inner,Minute Maid Park,"Houston, TX"
132,HOU,116.5828735,159.1295733,infield_inner,Minute Maid Park,"Houston, TX"
133,HOU,119.1540055,156.6228021,infield_inner,Minute Maid Park,"Houston, TX"
134,HOU,122.6488333,155.3533924,infield_inner,Minute Maid Park,"Houston, TX"
135,HOU,126.2394167,155.4016962,infield_inner,Minute Maid Park,"Houston, TX"
136,HOU,130.4205202,156.0660802,infield_inner,Minute Maid Park,"Houston, TX"
137,HOU,164.34,168.49,infield_outer,Minute Maid Park,"Houston, TX"
138,HOU,164.17101,168.0756023,infield_outer,Minute Maid Park,"Houston, TX"
139,HOU,163.6604412,166.9117506,infield_outer,Minute Maid Park,"Houston, TX"
140,HOU,162.8028952,165.1174575,infield_outer,Minute Maid Park,"Houston, TX"
141,HOU,161.5929738,162.8117352,infield_outer,Minute Maid Park,"Houston, TX"
142,HOU,160.0252784,160.1135962,infield_outer,Minute Maid Park,"Houston, TX"
143,HOU,158.0944108,157.1420528,infield_outer,Minute Maid Park,"Houston, TX"
144,HOU,155.7949727,154.0161174,infield_outer,Minute Maid Park,"Houston, TX"
145,HOU,153.1215658,150.8548023,infield_outer,Minute Maid Park,"Houston, TX"
146,HOU,150.0687916,147.7771201,infield_outer,Minute Maid Park,"Houston, TX"
147,HOU,146.6312518,144.9020829,infield_outer,Minute Maid Park,"Houston, TX"
148,HOU,142.8035481,142.3487033,infield_outer,Minute Maid Park,"Houston, TX"
149,HOU,138.5802822,140.2359936,infield_outer,Minute Maid Park,"Houston, TX"
150,HOU,133.9560556,138.6829661,infield_outer,Minute Maid Park,"Houston, TX"
151,HOU,128.9254702,137.8086333,infield_outer,Minute Maid Park,"Houston, TX"
152,HOU,123.4983683,137.7285352,infield_outer,Minute Maid Park,"Houston, TX"
153,HOU,118.2561787,138.4427914,infield_outer,Minute Maid Park,"Houston, TX"
154,HOU,113.4340645,139.8377131,infield_outer,Minute Maid Park,"Houston, TX"
155,HOU,109.0260209,141.7981073,infield_outer,Minute Maid Park,"Houston, TX"
156,HOU,105.0260431,144.208781,infield_outer,Minute Maid Park,"Houston, TX"
157,HOU,101.4281261,146.9545414,infield_outer,Minute Maid Park,"Houston, TX"
158,HOU,98.22626514,149.9201955,infield_outer,Minute Maid Park,"Houston, TX"
159,HOU,95.41445535,152.9905503,infield_outer,Minute Maid Park,"Houston, TX"
160,HOU,92.98669185,156.050413,infield_outer,Minute Maid Park,"Houston, TX"
161,HOU,90.93696978,158.9845906,infield_outer,Minute Maid Park,"Houston, TX"
162,HOU,89.25928428,161.6778902,infield_outer,Minute Maid Park,"Houston, TX"
163,HOU,87.9476305,164.0151189,infield_outer,Minute Maid Park,"Houston, TX"
164,HOU,86.99600357,165.8810836,infield_outer,Minute Maid Park,"Houston, TX"
165,HOU,86.39839862,167.1605916,infield_outer,Minute Maid Park,"Houston, TX"
166,HOU,86.1488108,167.7384498,infield_outer,Minute Maid Park,"Houston, TX"
167,HOU,88.12380014,169.7000172,infield_outer,Minute Maid Park,"Houston, TX"
168,HOU,90.69112844,172.2106839,infield_outer,Minute Maid Park,"Houston, TX"
169,HOU,93.25845673,174.7213506,infield_outer,Minute Maid Park,"Houston, TX"
170,HOU,95.82578502,177.2320173,infield_outer,Minute Maid Park,"Houston, TX"
171,HOU,98.39311332,179.742684,infield_outer,Minute Maid Park,"Houston, TX"
172,HOU,100.9604416,182.2533507,infield_outer,Minute Maid Park,"Houston, TX"
173,HOU,103.5277699,184.7640174,infield_outer,Minute Maid Park,"Houston, TX"
174,HOU,106.0950982,187.2746842,infield_outer,Minute Maid Park,"Houston, TX"
175,HOU,108.6624265,189.7853509,infield_outer,Minute Maid Park,"Houston, TX"
176,HOU,111.2297548,192.2960176,infield_outer,Minute Maid Park,"Houston, TX"
177,HOU,113.7970831,194.8066843,infield_outer,Minute Maid Park,"Houston, TX"
178,HOU,116.3644114,197.317351,infield_outer,Minute Maid Park,"Houston, TX"
179,HOU,117.7343596,199.9103349,infield_outer,Minute Maid Park,"Houston, TX"
180,HOU,116.980222,203.3631933,infield_outer,Minute Maid Park,"Houston, TX"
181,HOU,117.7120288,206.8301605,infield_outer,Minute Maid Park,"Houston, TX"
182,HOU,119.8572616,209.6738108,infield_outer,Minute Maid Park,"Houston, TX"
183,HOU,123.0085968,211.3343701,infield_outer,Minute Maid Park,"Houston, TX"
184,HOU,126.5669937,211.496181,infield_outer,Minute Maid Park,"Houston, TX"
185,HOU,129.8560327,210.1284846,infield_outer,Minute Maid Park,"Houston, TX"
186,HOU,132.2504968,207.4912678,infield_outer,Minute Maid Park,"Houston, TX"
187,HOU,133.2952198,204.085842,infield_outer,Minute Maid Park,"Houston, TX"
188,HOU,132.7704318,200.5652245,infield_outer,Minute Maid Park,"Houston, TX"
189,HOU,133.9090295,197.8219691,infield_outer,Minute Maid Park,"Houston, TX"
190,HOU,136.4944414,195.3299282,infield_outer,Minute Maid Park,"Houston, TX"
